posada,name,id,category,transport,incomes,assets,land,house,transport_cost
" Депутат, Одеська міська рада",танцюра дмитро миколайович,822033ee-d0de-454b-8be9-59c3735fe7c0,1,"Jeep Wrangler, Astoria Mariner, Volkswagen Toureg, Lexus NX300H",1262548,147595976.47569,270851,2190,1012687
" суддя, Одеський окружний адміністративний суд",танцюра катерина олексіївна,f9bb9dd0-9e39-409b-8a2c-6a902c4c9d27,4,"Lexus NX300H, Volkswagen Toureg, Astoria mariner, Jeep Wrangler",1262548,147595976.47569,270799,2189.4,187687
" Народний депутат України, Верховна Рада України",вілкул олександр юрійович,d34e8f46-e207-471c-aa58-47b5c8a356f4,2,CHEVROLET EXPRESS,1068995,143946707.65248,0,192.6,0
" Голова, Національний Банк України",гонтарева валерія олексіївна,3e3129c5-a18a-4e4e-884b-2bb7d58e175d,10,"Porsche Panamera, Mercedes Benz G55, Porsche Cayenne",90999926,140153648.10346,5155,1249.8,3076380
" Директор, ПСП ""Вікторія""",миронишин сергій миколайович,61faf393-264c-4fdf-85e8-84e9f960b898,0,"Ford Kuga, Ford KUGA",104770,137529392.7,31251,80,0
" Народний депутат України, член Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки, Верховна Рада України",звягільський юхим леонідович,f34bd828-73dc-4e0a-ae13-02fe6ac9e7aa,2,"Lexus LS600H, BMW 760LI, Lexus LX570",16366597,137108996.23651,1188,862.5,2770000
" депутат, Полтавська обласна рада",лебедин юрій якович,e3805035-f754-43e5-b120-53f44f43ca97,1,Audi Allroad Audi Allroad,25781133,135123887.54279,155358,1068.9,0
" Заступник директора, Товариство з обмеженою відповідальністю ""КОМФОРТ-СТРОЙ""",сітенко тарас олександрович,e4875111-1224-4bb7-8be3-6055e92e6e04,0,"LAND ROVER DISCOVERY 3.0, VW Touareg NF, SKODA SUPERB",52885557,132421669.86049,45941,2078.25,3170496
" Радник директора, Товариство з обмеженою відповідальністю ""Компанія""Александр""",кальцев сергій федорович,a95c11ef-dc5b-4906-a0fc-287074fdf695,0,"MERCEDES-BENZ ML 250, MERCEDES-BENZ S 500, LEXUS LS 460L",94478,131859307.38707,572,3799.72,0
" Народний депутат України, Верховна Рада України",бобов геннадій борисович,fbc29171-f8c9-4918-ac85-cdf13c2d9e70,2,"MERSEDES-BENZ S 550, ВАЗ 21313, LAND ROVER RANGE ROVER",62964835,128470157.64,138914,810.8,0
" Заступник голови правління, ДПАТ ""БК УКРБУД""",якусевич сергій григорович,647221cc-dc0f-4b2b-b69e-d741da6561d3,0,"MERCEDES-BENZ GLE 450, УАЗ 3741, Maxum 2700 SE, SONST ANH HERSTELLE, Polaris, MAN 14-264, ВЕРДА 02, TOYOTA PRADO, TOYOTA RAV4, AUDI 100, MERCEDES-BENZ GL550",11079360,128093515.26184,25177,680.56,1579450
" Народний депутат України, заступник голови Комітету з питань охорони здоров""я, Верховна Рада України",донець тетяна анатоліївна,416233e8-298e-4664-b2db-6b89d04fc4be,2,"JAGUAR XF 3.0, LAND ROVER RANGE ROVER",5095453,125833165.76014,1433,4339.9,0
" Секретар, Сєвєродонецька міська рада",бутков ігор миколайович,028c1f2d-0305-40cf-b8f2-735bafce9b25,1,"TOYOTA LAND CRUISER, ЛТ 7-А, ТЦ 10А, LAND ROVER DISCOVERY, VOLKSWAGEN TRANSPORTER, HTUNDAI ELANTRA, ВАЗ 21013, МАЗ  9397, ВАЗ 21061, ВАЗ 21043, KAWASAKI GPZ 500S 499, EOS E-108Z COACH, VOLKSWAGEN PASSAT 1390, VOLVO B12, EOS E-108 COACH",74821,124246635.4,1824,2514.7,625469
" немає, безробітня",буткова олена миколаївна,1838cf4b-e976-424e-989a-fc3f1c38c724,0,"ВАЗ 21013, ВАЗ 21061, HYUNDAI ELANTRA, VOLVO B12, TOYOTA LAND CRUISER, МАЗ 9397, VOLKSWAGEN TRANSPORTER, ВАЗ 21043, LAND ROVER DISCOVERY, ТЦ 10А, ЛТ 7-А, EOS E-180 COACH, EOS E-180Z COACH",74821,124246635.4,1824,2465.2,625469
" Член Комісії, Національна комісія з цінних паперів та фондового ринку",панченко олександр сергійович,cbd2858f-2cd3-42a1-8eaa-8c358add6163,9,"ПГМФ 8302, Audi Q5, Nissan Juke",970996,123159478.90928,3090,299.18,664207
" Міністр, Міністерство внутрішніх справ України",аваков арсен борисович,77ea8149-3dd6-4f33-9158-717e8da92bc0,3,0,58602749,122451373.90933,1200,861.8,0
" Заступник голови Харківської обласної ради, Харківська обласна рада",скоробагач володимир іванович,15d0f36b-ed3a-4e30-acba-c408f6dd507e,1,"Sea Doo BRP RXP-X 260 RS B/VR 14, BMW X6, BMW 740LE XDRIVE IPERFORMANCE, PORSCHE  CAYENNE S",9081157,120732469.88629,29025,2490,3377404
" Аналітик, Товариство з обмеженою відповідальністю ""Компанія ""Александр""",кальцев володимир федорович,07fb15fe-06a1-4e19-b0e7-bc3269743c9a,0,"KIA Sportage1.7D LX2WD5dr6 MT, MERCEDES-BENZ S 500",1123223,119820090.10457,8069,1720.97,617400
" депутат, Олександрійська міська рада",ходак олександр вячеславович,b7794f7b-1d88-4119-881b-31297d9b1fab,1,BMW 5281GT,4889949,118690622.227,29037,5705.2,500000
" перший заступник Міністра охорони здоров'я України, Міністерство охорони здоров'я України",супрун уляна надія,e1495863-f755-4a0c-948f-83ed5688d0c8,3,0,357375,118489103.84811,0,128.7,0
" Депутат Київської міської ради, Приватний підприємець, Депутат Київської міської ради",товмасян ваган робертович,3df21017-a03e-46c5-848c-0153d90d6733,1,"LEXUS RX 350, BMW X6, CHEVROLET  AVEO, MERCEDES-BENZ S 500 4MATIC, TOYOTA LAND CRUISER",47845001,117568892,2550,283,149000
" голова правління, Публічне акціонерне товариство ""ЖИТОМИРСЬКИЙ МАСЛОЗАВОД""",рудь петро володимирович,30dd43e7-4407-4e10-ba97-895059652a89,0,"катер ua0170VL,  ПГМФ8904, Toyota Land Cruiser",23971501,114314910.41553,5237,1603.1,12000
" Перший заступник Секретаря Ради, РАДА НАЦІОНАЛЬНОЇ БЕЗПЕКИ І ОБОРОНИ УКРАЇНИ",гладковський олег володимирович,579bbccc-04b6-4362-bb33-2a0c2d75e899,8,"MASERATI GHIBLI, SKODA SUPERB",11698997,112570086.39614,5393,2867.3,1048519
" Депутат, Одеська обласна рада",осіпов володимир олександрович,4dd2e250-962b-4963-939b-af6193a8f31c,1,"ВАЗ  ВАЗ 21074, KARAVAN 000T-5C-D00, SCHMITZ SCS 24, гідроцикл SEA-DOO, MITSUBISHI LANCER EVOLUTION X",2123049,110234845.46,672,737.9,50000
" Директор, Товариство з обмеженою відповідальністю ""Данилко та Партнери""",данилко наталія іванівна,93739667-fd70-47b7-974f-acaa64a22af7,0,"Mercedes-Bens E 350, Volkswagen  Golf",125308,109035476.46672,48271,69.2,0
" Директор, ТОВ ""Прайм"". Депутат Хмельницької міської ради",кветко андрій романович,9eea640d-7572-45fb-823a-351661af6bec,1,"BMW 530d, Lexus  RX 350",2637746,108155681.40168,90936,524.7,1914000
" депутат Київської обласної ради, Київська обласна рада",кищук олег євгенович,cb2853b9-67c7-4b5b-a289-1288a0230794,1,"WILLIAMS , SKODA Fabia, SUBARU Forester, немає_даних, Boeckmann",233575,105679381,117483,7217.5,0
" Депутат восьмого скликання, Верховна Рада України",фурсін іван геннадійович,881a8f75-ea95-4241-beb0-951a75b79095,2,"Mercedes-Benz S500 4MATIC, Range Rover 4.2, Tayota HighLander, Hyundai Santa Fe, Audi A8L, Skoda Octavia Combi , Harley Davidson Ultra Classic, Ssang Yong Rexton",656755,103059448.00652,0,478.5,2130000
" Народний депутат України, Верховна Рада України",івахів степан петрович,5ea6c75c-cb9a-422e-8e10-e63cd594bd14,2,"Toyota FJ CRUISER, Rolls-Royce GHOST, BMW 750 LI, LAND ROVER RANG ROVER, LANG ROVER RANG ROVER, Range Rover  Evoque, ПГМФ 8304",30634255,102304794.50501,200757,4991.6,1177100
" Народний депутат України, Верховна Рада України",мураєв євгеній володимирович,dfb1ffc8-bd6a-4c31-8ec4-f036325304af,2,LEXUS LX 570,1064903,100316267.21414,0,352.2,960000
" Депутат районної ради 7 скликання (за сумісництвом на громадських засадах), Дергачівська районна рада Харківської області",політуха олександр олександрович,dbe6e665-c15b-4906-9c78-0d6fc592c04b,1,"Peugeot j5, Lexus LX570",389330,100298771.11455,21500,251.2,150000
" Виконавчий директор, ПАО ""Дніпрополімермаш""",циркін ігор маркович,06f7a57f-72ff-4023-a89b-5a47c2c6ffd6,0,"MERCEDES-BENZ GLE400, MITSUBISHI OUTLANDER, Mercedes-Benz S 500L 4MATIC, HYUNDAI H1, SKODA OKTAVIA A7",6908232,95535332.016758,909334,245.8,3897060
" народний депутат України, Заступник Голови комітету, Верховна Рада України",розенблат борислав соломонович,527f1be2-3768-4675-b709-75376f7951d4,2,"JAGUAR XK 8 COUPE, MERCEDES-BENZ S 500L4M",12162698,94003284.031112,24530,1544.1,1372700
" Заступник Генерального прокурора - Головний військовий прокурор, Генеральна прокуратура України",матіос анатолій васильович,1cf60b4d-df4b-46db-8ee6-db539ddb5733,5,Mercedes-Benz G55AMG,72939505,93778729.15,143151,1034.2,690000
