posada,name,id,category,transport,incomes,assets,land,house,transport_cost
" Депутат Луцької міської ради, Підприємець, Адвокат, Начальник юридичного відділу, Луцька міська рада, Фізична особа - підприємець, Самозайнята особа - Адвокат, ТзОВ "" Консалтингова компанія "" ЛІСЕТ""",покровський андрій володимирович,9f5257cc-c59b-4c81-a7a4-903ae1b4efd0,1,"MERCEDES-BENZ  G 500, YAMAHA 125, ПФ  01 Фермер, BMW 740, MERCEDES - BENZ 1828, IVECO EUROCARGO ML 120 E22, ПР ПГМФ 8902К, BOBCAT S 250, Язь  320, ПП Bayliner 175, ЗИЛ-ММЗ  4505, МКП 25-651",14381917,59526756.485555,18084,1565.28,6586339
" народний депутат України, секретар комітету Верховної Ради України з питань свободи слова та інформаційної політики, Верховна Рада України",кондратюк олена костянтинівна,60095b84-d2cf-4020-9c1d-d5640f7ced00,2,"Mazda універсал B CX 5, BMW легковий універсал B X 3",7220844,59242739.103421,5470,882.8,0
" перший заступник генерального директора, ПАТ ""НВП ""Більшовик""",коваленко ігор борисович,765dd970-1a76-4356-be9f-0e884976722b,0,"Nissan t32 X-Trail, VOLKSWAGEN JETTA",797947,58925333.875,0,767,1322000
" Голова Державної фіскальної служби України, Державна фіскальна служба України",насіров роман михайлович,7d7736ce-6252-44da-8c45-bdd263acda4b,3,"LEXUS LS 600, TOYOTA CAMRY, LAND ROVER RANGE ROVER, HARLEY DAVIDSON FLS TFB 1690, TOYOTA LAND CRUISER PRADO 150",9147068,58417914.88772,188959,1021.4,798000
" Заступник Глави Адміністрації Президента України, Адміністрація Президента України",філатов олексій валерійович,bbdac1f6-d59f-41c9-a3bc-c5445e0bc6e7,8,"Volkswagen Touareg, Jaguar XK8 Coupe",354585,58110798.868206,0,203.5,0
" Народний депутат України, член комітету Верховної Ради України у закордонних справах, Верховна Рада України",льовочкіна юлія володимирівна,df91d497-4298-4746-ae7c-0eefedba3fa5,2,"LAND ROVER RANGE ROVER, LEXUS  LX 570, Mercedes Benz G 500",21291080,57878114.965852,58604,9076.2,6804256
" академік-секретар Відділення економіки, Національна академія наук України",лібанова елла марленівна,8150f154-2eee-4e10-ab77-e633b5a55dde,0,"Honda  Accord, Volkswagen Multivan",1976593,57608194.093847,2133,479,796550
" Директор, депутат Хотинської районної ради, Товариство з обмеженою відповідальністю ""Фенікс-2000""",допіряк володимир васильович,d0b3b587-1a99-459d-96c3-ef5e12c723c5,1,"Toyota Land Cruiser 200, Mercedes-Benz C220, Wolkswagen Tiguan",2435776,57600414.172239,21308,4865.6,570628
" Народний депутат України, Верховна рада України",кобцев михайло валентинович,7cf9aeb9-7f1c-4907-8d7b-47a715e387f9,2,0,3703414,57537807.15,1569,1747,0
" народний депутат України, Верховна Рада України",корнацький аркадій олексійович,e8f69b26-a618-400f-996c-fcdb1f1fd316,2,MERCEDES - BENZ GL 350 CDI 4MATIC Універсал В,483554,57104095.545,167265,5091.2,1132069
" Харківський міський голова, Харківська міська рада",кернес геннадій адольфович,46c983c1-9c31-42dd-b2f7-c2e6bf8dc89e,1,0,24149066,56891089.75439,0,64.3,0
" Депутат Чернівецької міської ради, Чернівецька міська рада",чинуш валерій миколайович,ba7d12be-45af-4713-ba63-d3b223a40c2b,1,Mercedes-Benz S 500,1148886,56450565.602673,497,820.56,434805
" депутат, Полтавська обласна Рада",говоренко володимир олександрович,e0cb1248-20be-434a-be46-c2839bbf3018,1,"немає_даних,  ""BRP RXT X"", BRP, Daimler-benz 316, MITSUBISHI PAJERO WAGON, Mercedes-benz V 250",756036,56044828.837793,487,964.3,149500
" депутат, Шевченківська районна в місті Полтаві рада",веретеннікова наталія олександрівна,c3e8821e-5cd3-46bf-b9a5-e2c35814c7ff,1,"BMW K1200S, PORSCHE CAYENNE, Porsche  Cayenne",807953,55642742.275,1200,185.9,1987832
" депутат, Чернігівська обласна рада",гайдай сергій анатолійович,e41e4ab3-bac7-4297-81e0-2c7ec1a10c9c,1,"HARLEY-DAVIDSON FLHTCU, LAND ROVER RANGE ROVER,  Buster-XL,  BRP GTX LTD IS 260, BMW 750Li",3332446,55347843.645523,1271368,71,567000
" Народний депутат України, Голова Комітету з питань економічної політики, Верховна Рада України",іванчук андрій володимирович,3a762a3f-9725-49df-b4de-580cedcaf5d3,2,Toyota  Sequoia,5792143,53855813.4128,0,174.3,0
" Народний депутат, Верховна Рада України",чижмарь юрій васильович,b74b9b1a-0a85-4d2d-8116-28f5275a3816,2,Lexus RX-270,5691395,53684033.38,8320,466.6,0
" Депутат районної ради, Дергачівська районна рада, Харківська область",андрющенко володимир володимирович,dcda69ce-7967-4386-a2e8-4aba8785e2ef,1,VOLKSWAGEN TIGUAN,1135735,53675785.02295,86823,240.1,0
" народний депутат України, Верховна Рада України",балога павло іванович,1c171241-a7fd-4e13-b2a3-ae7cd797baa7,2,MERCEDES-BENZ ML350,2478978,53567856.95,2658,429.7,0
" Депутат, Добропільська районна рада",борисов андрій михайлович,c0ec2231-93c9-41a2-b7f6-c2b8583e35f5,1,"AUDI Q7, VOLVO XC60",20863417,53031743,3627774,597.7,1300000
" Генеральний директор, Публічне акціонерне товариство ""Науково-виробниче підприємство"" Більшовик",білоскурський роман євгенович,7534e7d3-6f31-4975-ac26-6d1f63f1f746,0,"ВАЗ 2101, RENAULT Kangoo, ГБК 811, VOLKSWAGEN JETTA, ВАЗ 2102, VOLKSVAGEN JETTA, VOLKSWAGEN PASSAT",1274963,52857795.04,7031,119,1043202
" Директор, Відособлений підрозділ Південно-Західна електроенерегтична система державного підприємства ""Національна енергетична компанія ""Укренерго""",дідіченко євген святославович,da9de532-7080-4c19-bb39-61cea4a5bfea,0,"Audi A6, MERCEDES-BENZ C 350",39359455,52855472,5613,293.22,1350000
" Фізична особа-підприємець, директор, Фізична особа-підприємець, товариство з обмеженою відповідальністю ""МЕБТЕКС""",терновський андрій юрійович,800bd1b5-96df-498b-b38b-2cb82624d282,0,"MERCEDES-BENZ 809, CITROEN BERLINGO",8334620,52751299.565242,1186,720.6,78000
" Генеральний директор, Державне підприємство ""Міжнародний Аеропорт ""Бориспіль""",рябікін павло борисович,355f2ec8-a065-4d91-a1dc-166a853248bb,0,"Audi Q7, САНТЕЙ 2500, ПП-301 судно причальний понтон стоянкове, Larson самохідномоторне прогулянкове, Д-014 судно понтон стоянкове, Рапан плавдача стоянкове судно, Audi Q7, Вікторія пасажирське, Fiat Nuovo Doblo фургон малотонажний, Dodge Ram Van пікап с вантажний, SeaDoo самохідномоторне прогулянкове, Mercedes Benz  SLK230, МАЧТА судно понтон стоянкове, BMW 730D",27512633,52668615.963517,1369,2184.3,6430532
" Депутат Харківської обласної ради, Харківська обласна рада",губін олександр андрійович,178f2c9b-fc4f-4a73-bb11-5f89e16cb38f,1,"Renault Magnum, DAF TE95XF430, Mercedes-Benz 408DE, Porsche  Cayenne, ГКБ 8350, ЕО-2621, DAF FT95XF430, Т-156-2, ПАЗ 3205, ПАЗ 32054, Lecitrailer LTP-3E, Toyota RAV 4 cdv wagon lounge, Mercedes-Benz 614D, Toyota Hilux, Mercedes-Benz CL 550, DAF TE95XF, ПАЗ 3205407",868249,52544405.0875,40244,9102.1,0
" директор, Інститут права та післядипломної освіти Міністерства юстиції України",чижмарь катерина іванівна,d0bfba9e-64ff-49f1-bf78-46b36856f240,3,Лексус RX-270,5399823,52168403.338,8302,466.6,0
" народний депутат України, Верховна Рада України",мороко юрій миколайович,f03de090-40fa-43c1-8f4a-ebe6f52bb09a,2,"Лексус РХ 350, Вольво S80, Фольксваген Мультивен",1573988,52075593,0,466.1,830000
" Депутат, Маріупольська міська рада",ларіонов олександр олексійович,719e2218-6a72-4f01-8e23-0a0e22f5a52c,1,"Volkswagen Passat 2.0, УАЗ 31512, Land Rover Range Rover, ГАЗ 704",4907502,51648736.729457,0,327.8,0
" начальник, депутат, Одеська філія ДП ""АМПУ"", Вінницька міська Рада",ткачук ігор віталійович,0f2a67b0-90ae-45da-9854-01090d70418e,1,"Lexus RX 200, Toyota Land Cruiser 200, Toyota Land Cruiser Prado",6946113,51607225.229,0,1034.9,4385912
" депутат, Вінницька обласна рада",станіславенко людмила анатоліївна,7c7a7e96-429d-43c0-af4f-0838fc4d4a0d,1,"Toyota Land Cruiser Prado, Toyota Land Cruiser 200, Lexus RX 200",6946113,51607225.229,0,1034.9,4385912
" Директор з корпоративних питань, ПрАТ ""ІДС"" в м.Київ",білас всеволод омелянович,34aaddeb-f25c-4dfc-be1c-15ef55788204,0,"Porshe Macan, Lexus LX570, BMW Z4",9776728,51350834.5,26822,2831.3,3522750
" народний депутат України, Верховна Рада України",шенцев дмитро олексійович,70c4df71-fdc9-4ca4-a752-fe533ac18770,2,"ПА1, UMS BOAT, Lexus  ls460, Porsche  Cayeene, Land Rover Range Rover",5426202,50831634.4,126132,2229.9,0
" Полтавський міський голова, Виконавчий комітет Полтавської міської ради",мамай олександр федорович,3ed86021-972b-4f37-a146-5345ab460c47,1,"Газ 3302, Краз 8138, Газ М-21, ГАЗ 704, ГАЗ 69",540035,50701530.49,1489,958.6,57294
" Народний депутат України, Верховна Рада України",балога іван іванович,ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0,2,"MERCEDES-BENZ ML350, AUDI Q7 3.0 TDI quattro SL",4710590,50315941.271,8043,1354.1,3381600
" Народний депутат України, Верховна Рада України",шаповалов юрій анатолійович,1d02d0b6-0906-4f73-acdc-b264d998a37e,2,"Бомбардир 215, ПГМФ ПГМФ 8904, KOGEL AN24, ПР ВЕРДА-1",2735898,50285859.254413,1501,97.9,0
" директор, Державне підприємство ""Львівський бронетанковий завод""",тимків роман мирославович,6cd1d542-328c-4a76-ab21-68c38d02e765,0,"FORD MUSTANG, CAN-AM SPYDER B9ET-RT-LTD, LAND ROVER RАNGE ROVER",3267480,50279417.43,3000,129.7,0
" заступник Генерального директора ТОВ ""Лиманський"", ТОВ ""Лиманський""",гемаєв хасан зубайович,64de04cb-e286-4a04-ba1b-37ab11d263da,0,TOYOTA HIGHLANDER 3.5,26811281,50210083.45,63121,1007.6,0
" Депутат, Ірпінська міська рада",оверко ігор іванович,83c894b3-f1a3-4f9a-ae73-dcbc9e07c388,1,"MERCEDES-BENZ E 200, FIAT DOBLO, OPEL VECTRA, Daewoo Lanos, LEXUS RX 350",70413528,50089393.306464,11123,1650.3,0
" Член Вищої ради правосуддя, Вища рада правосуддя",гречківський павло миколайович,7ae76901-cb20-4dd1-b42b-bcae35cca891,11,"BMW Alpina B6, Mercedes-Benz ML 55 AMG, Maybach 57S",7879322,49742402.004,0,413.5,5631070
" Народний депутат України, Верховна Рада України",бакулін євген миколайович,928c9e2e-17f5-41b3-a44a-fa01ac29cb92,2,"MERCEDES-BENZ AMG GLE 63, VOLKSWAGEN CC, ГАЗ 21л, NISSAN  GT - R, PORSCHE CAYENNE S, PORSCHE 911 TURBO S, СКУТЕР",3160548,49644904.956358,17348,4456.8,0
" депутат Полтавської обласної ради, ТОВ ""НОВОС ДЕВЕЛОПМЕНТ"", директор",сірик ігор володимирович,258e5246-8215-400c-9e05-0adab7376aaa,1,"TOYOTA LAND CRUISER 200, БРИГ 450, немає_даних, TOYOTA LAND CRUISER 4.7, TOYOTA CAMRY",10115678,49191896.663731,4664,884.7,3149850
" Начальник ГУ, ГУ ДФС у Харківській області",рибаков микола володимирович,c7a563f2-1e1c-46ff-b5db-4dfea31dcf84,3,"Одиссей ОДАЗ 81442, Лексус GS 300, Лексус GX 460",1283192,49104072.845017,2666,677,1085150
" народний депутат, Верховна Рада України",войціцька вікторія михайлівна,bfc4f2e8-5aa7-48fc-af15-209758150dba,2,"BMW 523i, AUDI  A6 ALLROAD, MERCEDES-BENZ GLS350D",22451822,48868866.003707,2717,400.5,3293211
" Комерційний директор, ТОВ ""Ольга""",бабійчук олег миколайович,80ddce71-6345-4d3c-9c33-8833de2e632e,0,"BMW  X5, BMW X5",23745705,48777828.524868,344066,185.9,1600000
" народний депутат України, Управління справами Верховної Ради України",присяжнюк олександр анатолійович,ca243b6b-7972-4289-93ea-41ebc8f53b2e,2,"Mercedes-Benz CL 500, MERCEDES-BENZ VIANO, LAND ROVER RANGE ROVER, ОДАЗ 9958, BMW X6 M, Mercedes BENZ",5068723,48643654.220904,8731,2135.3,0
" Секретар Ради національної безпеки і оборони України, Рада національної безпеки і оборони України",турчинов олександр валентинович,8635a8f2-03e4-4b6f-9700-c328b5ced7d5,8,TOYOTA HIGHLANDER,2829304,47336057.485173,0,419.6,0
" Консультант, ТОВ ''Візит-Сервіс 2005''",клименко олексій олексійович,2af5b58d-b7ea-409d-8d86-c75942ddb766,0,"Шевроле Авео, Мерседес ML 350, ГАЗ 3302",319042,47037705.242552,5179,639.1,1000325
" заступник начальника відділу , Головне управління Державної казначейської служби України в Івано-Франківській області",михайляк олена юріївна,c21b952d-dc70-4040-b9c7-1662b3bc9204,9,"Toyota Auris, Toyota Camry",917744,47035554.225,0,1443.85,400007
" заступник директора, ТОВ ""Віджі Груп Україна""",журавльов віталій володимирович,d728f316-25f8-4803-bf34-877feb4b29a4,0,"ACURA RDX, TOYOTA Camry",289030,46505110.482605,114591.1,515.2,680351
" Міський голова, Білгород-Дністровська міська рада Одеської області",гінак алла федорівна,fec8a1e8-fab5-4bad-af8e-e958d9adc01b,1,"PORSCHE CAYENNE DIESEL, LAND ROVER RANGE ROVER EVOQUE",3691443,46298814.85509,4170,1026,0
" депутат, Київська міська рада",макаров олег анатолійович,b11a7861-9e9b-435e-afba-b8d70a9cba98,1,Lexus GX 460,4692183,46242636.3287,2070,782.2,823446
" депутат, Черкаська обласна рада",лашкул володимир григорович,7a52eedf-aa79-41fd-ac13-2378587151c2,1,"Mercedes-Benz S 500, Land Rover Velar, UMS BOAT",7476644,46014778.920588,1878,1533.1,4790758
" Міністр юстиції України, Міністерство юстиції України",петренко павло дмитрович,e02b0109-99ae-420a-a4f2-a52647e75a3f,3,"TOYOTA CAMRY, Volkswagen Golf",4352963,45950605.13387,30497,211.3,0
" Голова, Чернігівська обласна державна адміністрація",куліч валерій петрович,f74c75fd-5fba-4605-923a-9ec319a18c4e,1,"TOYOTA LAND CRUISER PRADO, БМВ Х4, BMW 750LD, AUDI Q7 Q7",36446059,45652773,45004,694.8,7856807
" прокурор відділу , Генеральна прокуратура України",біленька юлія анатоліївна,492bb891-9200-47c8-89b5-92d0061ea77c,5,"BMW 316, peugeot 309",201308,45630237.319,0,220,0
" Народний депутат, Верховна Рада України",кіссе антон іванович,fd048d9d-a8fd-4849-b8f9-a1d14e7ba39f,2,"Porsche  Cayenne, УКА- 6585-К МК-480, ВАЗ 21043, Volkswagen GOLF, Volkswagen  Touareg",3808060,45558811.440761,155672,1996.22,1886129
" Голова Наглядової Ради, ТОВ Токмак Солар Енерджи",рєпкін олександр олександрович,37146300-fe5d-488d-a053-91a87c3964bb,0,"Причіп ПТС-2,5У (мал.), BMW X6m50d, Gayk  HRE 1000 TO1284AK, BMW 420i, Трактор DW 404 DC, Прицеп 2ПТС-4, Gayk HRE1000, Toyota Land cruiser 200, Траншеекопатель ТКГ 1200 , Seat Leon",15890410,45535171.43,319999,95.85,6923444
" Народний депутат України, Верховна Рада України",бондар віктор васильович,1681f425-a4ea-4477-ab3c-f24edc089d89,2,0,491202,45264132.408695,4000,689.1,0
" Народний депутат України, Верховна Рада України",буглак юрій олександрович,3dbecd44-1a85-4d43-9699-3d5d4c9d76b0,2,"LAND ROVER FREELANDER, LAND ROVER DISCOVERY SPORT, DEFIANT DT150T-2, LAND ROVER DEFENDER",25911533,45078205.780017,5966,964.76,1646427
" Посол України в КНР, Миіністерство закордонних справ України, Посольство України в КНР",дьомін олег олексійович,c9f8441d-5624-44d6-a680-3b82ec7bc8c5,0,"Toyota Camry, Toyota RAV-4",3064122,44988957.057959,10284,1733.63,0
" Депутат Закарпатської обласної ради, Закарпатська обласна рада",поляк владіслав миколайович,c5995a70-e49c-4a4b-87e6-c070b752305d,1,"Toyota LC VDJ 200, камаз 55102, JCB 526-56, MERCEDES-BENZ GL 350 Blue Tec 4 CDI, HONDA GL1800",1265463,43835322.167608,17284,2899.2,3934534
" Председатель Областного совета, Ровенский областной совет",данильчук олександр юрійович,2732cfdd-62c8-4115-aa5b-166f3b4c43de,0,"Мазда 03, Мерседес Бенс CLA200, Ленд Ровер  Дефендер, Мерседес Бенс S600, Мерседес Бенс R350",5180386,43802297.67,0,196.7,0
" народний депутат України, Верховна Рада",рибалка сергій вікторович,04149e7e-01d3-43f0-adc6-a009e88cadf7,2,"MERCEDES-BENZ S600L, TOYOTA LAND CRUISER 200, PORSCHE PANAMERA, Mercedes-Benz S450",7104543,43355024.56091,1501,424.42,7447020
" Заступник Генерального директора, Державне підприємство ""Інформаційні судові системи""",дубінко дмитро олегович,23ac4736-83ef-43ad-aa47-cec1cfc3515a,0,"Ауді Q7, Лексус RX 350",1395455,43224449.638359,14013,448.3,1203075
" директор, депутат, ТОВ Торговий дім Продексім, Херсонська обласна рада",колихаєв ігор вікторович,5fa6b497-ff35-47ad-b1bb-6cd0e86593b5,1,"Lexus LX 570, Хюндай Туксон",7598829,43090532.548853,69398,168.3,3680586
" Народний депутат України, Верховна Рада України",королевська наталія юріївна,4755c02e-03e8-41e0-aba4-d8c915c957f6,2,Mercedes-Benz Viano,1005015,42924999.337,1678,816,0
" Народний депутат України, Верховна Рада України",солод юрій васильович,d0df6bb9-70e7-4c4f-94b4-d5a170aa7fd8,2,MERCEDES-BENZ VIANO,1005015,42924999.337,1678,816,0
" Член Комітету Верховної Ради України з питань податкової та митної політики, Голова депутатської фракції ""Радикальна партія Олега Ляшка"", Верховна Рада України",ляшко олег валерійович,f939c3e6-22b7-4349-8ab0-fb3a6dcdf135,3,"Toyota Land Cruiser, TOYOTA LAND CRUISER 200, MERCEDES-BENZ GLE 250",20949259,42542591.283012,11343,1068.1,1092000
" Депутат Новокаховської міської ради, Фізична особа підприємець",хоменко сергій вікторович,6ac03f87-e3e2-47e7-ad6c-1391310a070f,1,"MERCEDES-BENZ ML 250 CDI, KIA MOHAVE KN813D, HYUNDAI SANTA FE, MERSEDES-BENZ SP 319 CDI",2820000,42523191.935,3243,2850,1360768
" Депутат, Фізична Особа Підприємець, Депутат, Фізична Особа Підприємець",руденко денис петрович,3a43056e-92c6-4398-b57f-4f4e1667526d,0,"FORD  Scorpio, LEXUS LX 450",0,42413099.63,0,219.86,0
" Перший заступник голови по виконавчому аппарату, Дніпропетровська обласна рада",жадан євгеній володимирович,a59cc87b-7825-47e9-97b0-0bc002e82e23,1,"Лексус IS-250, Renault Duster, Bayliner Capri 192 LX",5513498,42188618.622324,60238,779.9,563000
" ДЕПУТАТ ОДЕСЬКОЇ ОБЛАСНОЇ РАДИ СЬОМОГО СКЛИКАННЯ, ОДЕСЬКА ОБЛАСНА РАДА",напрієнко павло володимирович,d39f5c3e-cd37-42f2-92fc-f6244a1ef6e3,1,"AUDI A8 Long, TOYOTA SIENNA, PORSCHE PANAMERA",168321,42132020.54,1935,1197,0
" ДЕПУТАТ, ПОЛТАВСЬКА МІСЬКА РАДА",бєлашова ліліана іванівна,378dcc86-6463-4e41-948f-e402804fbb49,1,"SSANG YONG REXTON RX270XD, PORSCHE CAYENNE",33821219,42100834.5,46994,326.2,375000
" народний депутат України, Верховна Рада України",євлахов анатолій сергійович,e62c42c3-4e36-4e36-9358-c6806b734e0e,2,"Land Rover Range Rover, Mercedes - Benz ML350",13041006,41946524.955633,0,537.59,1357116
" секретар Чернівецької міської ради, Чернівецька міська рада",продан василь сафронович,83ee5f48-a688-4f01-b11f-f2c72ebe77cf,1,"Toyota Land Cruiser 200, Toyota RAV 4, Toyota RAV 4",7258663,41871395.306382,0,3910.4,3783860
" народний депутат України, Верховна Рада України",продан оксана петрівна,6abe8de1-8c17-4422-b7b4-48ef7d980946,2,"Toyota Land Cruiser 200, Toyota RAV 4, Toyota RAV4",7258663,41871395.306382,0,3910.4,3783860
" народний депутат України, Верховна Рада України",воропаєв юрій миколайович,f4c45a2a-d38c-4460-9715-eda02cb38657,2,Lexus RX200t AGL25 6AT,16327055,41786171.565911,3000,1248,1406004
" Генеральний директор, ПрАТ ""АТЕК""",ільєнко лариса олександрівна,0ebb9138-1984-4b0a-8b16-7b42433db22a,0,"Ford C-Max, Audi Q7",272850,41556271.4,0,94,210000
" депутат, Київська обласна рада",глиняний леонід петрович,dfb88a16-7054-4101-8316-009aeed212d7,1,"BMW R nineT Pure, LAND ROVER  RANGE ROVER",3684137,41494135.301417,61136,531.1,442488
" Депутат, Добропільська районна рада",антипенко володимир вікторович,ca6a3f47-7996-476f-968a-4030be6c0120,1,"VOLKSWAGEN PASSAT VARIANT, SKODA FABIA ELEGANCE",21481273,41114290.808912,5476723,494.6,0
" Депутат Веселинівської районної ради, Голова СФГ ""Волощакевич""",волощакевич віктор володимирович,614e291f-727b-4580-8a5a-6ce2ccac8b6d,1,"TOYOTA LAND CRUISER PRADO, LAND ROVER RANGE ROVER SPORT, K - 701, LAND ROVER RANGE ROVER, TOYOTA LAND CRUISER, МТЗ - 80, TOYOTA LAND CRUISER 200",35917290,41050417.25,773901,192.2,4506008
" Народний депутат України, Верховна Рада України",балицький євген віталійович,6f0638d4-b59a-42b0-8f43-cd9bd1d03425,2,"Toyota RAV 4, Cessna  Cessna Model 172 RG, Porsche  Cayenne, Cessna  Cessna Model 172 RG, Beech Beech BE76 Duchess, Cessna  Cessna Model 172 RG, Mersedes Bens CL 550",4173724,40977970.073716,91663.68,611.9,0
" Народний депутат України, Верховна Рада України",алєксєєв сергій олегович,5e94d86d-fe76-46be-80f9-fe352c843c71,2,"BRP RXT 260, UMS BOAT 8902.3601, Ferrari 458 Italiia, Mercedes-Benz S500L 4 Matic, Porsche Cayenne s, Mercedes-Benz GL450, Toyota Corolla 1.3 I",2197544,40942021.032423,4016,1950.45,0
" Головний економіст відділу регулювання платіжних систем Департаменту платіжних систем та інноваційного розвитку, Національний банк України",мокляк олена олександрівна,25485c19-401c-49cd-83a0-09494b3aef79,10,"Toyota  Rav 4, BMW F15 X5 xDrive25d",2316696,40498638.580176,1497,391,2280205
" Депутат Вінницької міської ради 7-го скликання, Вінницька міська рада",гройсман борис ісаакович,eca2ce35-6474-4ee9-a6ac-ee3a65747c2c,1,"TOYOTA PICNIC 2.0 I, TOYOTA LAND CRUISER 200, TOYOTA C-HR, VOLKSWAGEN MULTIVAN 2.5 TDI, FORD TRANSIT, ГАЗ 3110",1486043,40292896.41427,1771,977.6,1525000
